SbjNum,Area,Sex,Ethnicity,Age,Status,SchoolYrs
16036493,Urban,Male,Indigenous,16,Single,11
16036494,Urban,Female,Indigenous,23,Single,9
16036495,Urban,Male,Indigenous,23,Single,12
16036559,Rural,Female,Indigenous,15,Single,5
16036560,Rural,Female,Indigenous,15,Single,6
16036561,Rural,Male,Non-indigenous,17,Single,4
16036562,Rural,Female,Non-indigenous,20,Single,6
16036563,Rural,Male,Indigenous,20,Single,11
16067490,Urban,Female,Indigenous,24,Married,6
16067491,Rural,Female,Indigenous,16,Single,9
16067492,Rural,Male,Non-indigenous,23,Single,0
16067501,Rural,Female,Indigenous,15,Single,6
16067502,Rural,Female,Indigenous,22,Single,12
16067503,Rural,Male,Indigenous,15,Single,8
16067504,Rural,Female,Indigenous,18,Single,10
16067505,Rural,Female,Indigenous,23,Married,4
16067506,Rural,Male,Indigenous,15,Single,8
16067507,Rural,Male,Indigenous,23,Married,9
16067521,Rural,Male,Indigenous,18,Single,6
16067522,Rural,Female,Indigenous,16,Single,6
16067545,Rural,Female,Indigenous,16,Single,7
16067546,Rural,Male,Indigenous,17,Single,9
16067547,Rural,Male,Indigenous,18,Single,8
16067548,Rural,Female,Indigenous,21,Married,10
16067549,Rural,Male,Indigenous,23,Single,16
16067550,Rural,Female,Indigenous,19,Single,6
16067551,Rural,Male,Indigenous,22,Single,12
16067577,Rural,Female,Indigenous,21,Single,13
16067578,Rural,Female,Indigenous,21,Single,6
16067579,Rural,Male,Indigenous,23,Single,0
16067580,Rural,Male,Indigenous,20,Single,8
16067625,Rural,Female,Indigenous,18,Single,6
16067626,Rural,Female,Indigenous,20,Single,6
16067649,Rural,Female,Indigenous,20,Married,0
16067650,Rural,Female,Indigenous,20,Single,9
16067989,Rural,Male,Indigenous,19,Single,6
16067990,Rural,Female,Indigenous,23,Married,11
16068309,Rural,Male,Indigenous,16,Single,6
16068310,Rural,Female,Indigenous,24,Married,9
16068311,Rural,Male,Indigenous,21,Single,12
16068348,Rural,Female,Non-indigenous,15,Single,6
16098113,Rural,Male,Indigenous,15,Single,8
16098114,Rural,Male,Non-indigenous,20,Single,12
16098115,Rural,Female,Indigenous,20,Single,6
16098116,Urban,Male,Indigenous,18,Single,10
16098117,Urban,Male,Indigenous,16,Single,11
16098118,Urban,Male,Indigenous,21,Single,12
16098119,Urban,Female,Indigenous,24,Single,15
16098120,Urban,Female,Non-indigenous,22,Married,13
16098123,Rural,Female,Indigenous,19,Single,7
16098124,Rural,Male,Indigenous,15,Single,8
16098125,Rural,Male,Indigenous,19,Single,11
16098126,Urban,Male,Indigenous,21,Single,12
16098127,Urban,Male,Indigenous,22,Single,9
16098133,Urban,Female,Indigenous,22,Single,14
16098134,Urban,Male,Indigenous,16,Single,10
16098135,Urban,Female,Indigenous,22,Married,11
16098136,Urban,Female,Indigenous,24,Single,9
16098137,Urban,Male,Indigenous,24,Married,15
16098145,Rural,Female,Indigenous,23,Single,5
16098146,Rural,Male,Indigenous,15,Single,9
16098147,Urban,Male,Indigenous,21,Single,12
16098148,Urban,Female,Indigenous,20,Single,13
16098151,Rural,Female,Indigenous,20,Single,9
16099215,Urban,Male,Indigenous,22,Single,14
16099216,Urban,Male,Indigenous,24,Single,17
16099217,Urban,Female,Indigenous,16,Single,11
16099218,Urban,Female,Indigenous,20,Single,12
16099219,Urban,Female,Indigenous,16,Married,9
16099220,Urban,Female,Indigenous,18,Single,11
16099221,Urban,Male,Indigenous,21,Single,11
16099222,Urban,Female,Indigenous,24,Single,17
16099239,Urban,Male,Indigenous,15,Single,10
16099240,Urban,Male,Indigenous,17,Single,9
16099241,Urban,Female,Indigenous,18,Single,12
16099242,Urban,Male,Indigenous,17,Single,12
16099262,Urban,Male,Indigenous,15,Single,8
16099263,Urban,Female,Indigenous,20,Single,12
16099264,Urban,Female,Indigenous,19,Married,6
16099265,Urban,Male,Indigenous,16,Single,8
16099304,Urban,Female,Indigenous,20,Single,11
16099305,Urban,Female,Indigenous,21,Married,10
16099306,Urban,Male,Indigenous,15,Single,9
16131782,Urban,Female,Indigenous,22,Separated/a,11
16131783,Urban,Male,Indigenous,22,Single,12
16131794,Urban,Male,Indigenous,18,Single,12
16131795,Urban,Male,Indigenous,21,Single,14
16131796,Urban,Female,Indigenous,16,Single,9
16131797,Urban,Female,Indigenous,15,Single,9
16131798,Urban,Female,Indigenous,22,Married,6
16131817,Urban,Female,Indigenous,15,Single,9
16131818,Urban,Female,Indigenous,20,Single,12
16131819,Urban,Female,Indigenous,24,Single,12
16131820,Urban,Male,Indigenous,24,Married,12
16131821,Urban,Male,Indigenous,24,Single,12
16131828,Urban,Female,Indigenous,24,Single,15
16131829,Urban,Female,Indigenous,21,Single,15
16131830,Urban,Female,Indigenous,16,Single,10
16131831,Urban,Male,Indigenous,17,Single,6
16131832,Urban,Female,Indigenous,23,Married,3
16131833,Urban,Male,Indigenous,21,Single,12
16132085,Urban,Female,Indigenous,15,Single,9
16132086,Urban,Female,Non-indigenous,18,Single,14
16132087,Urban,Male,Indigenous,18,Single,12
16132088,Urban,Male,Indigenous,18,Single,11
16132089,Urban,Female,Indigenous,17,Single,4
16132090,Urban,Female,Indigenous,19,Single,6
16132091,Urban,Male,Indigenous,16,Single,9
16132094,Rural,Female,Indigenous,17,Single,9
16132095,Rural,Male,Indigenous,15,Single,7
16132096,Rural,Female,Indigenous,22,Married,6
16132097,Rural,Male,Indigenous,17,Single,12
16132098,Rural,Male,Indigenous,24,Single,8
16132099,Urban,Male,Indigenous,17,Single,7
16132100,Rural,Female,Indigenous,22,Single,13
16132101,Rural,Male,Indigenous,15,Single,8
16132102,Rural,Female,Indigenous,22,Married,6
16132103,Rural,Male,Indigenous,20,Single,12
16132104,Rural,Female,Non-indigenous,16,Single,8
16132105,Urban,Male,Non-indigenous,18,Single,6
16132109,Rural,Female,Indigenous,16,Single,10
16132110,Rural,Male,Indigenous,17,Single,10
16132111,Rural,Male,Indigenous,24,Single,13
16132112,Rural,Female,Indigenous,15,Single,9
16132113,Rural,Male,Indigenous,21,Single,6
16132114,Urban,Male,Non-indigenous,18,Single,12
16132118,Rural,Female,Indigenous,24,Married,5
16132119,Rural,Female,Indigenous,19,Single,12
16132120,Rural,Male,Indigenous,20,Single,10
16132121,Rural,Female,Indigenous,20,Single,12
16132122,Rural,Male,Indigenous,18,Single,11
16133363,Rural,Female,Non-indigenous,17,Single,9
16163230,Rural,Female,Indigenous,19,Married,9
16163231,Rural,Female,Non-indigenous,19,Single,9
16163232,Rural,Male,Indigenous,15,Single,9
16163233,Rural,Female,Indigenous,21,Single,11
16163234,Rural,Male,Indigenous,21,Single,12
16163235,Urban,Female,Indigenous,15,Single,8
16163240,Urban,Female,Non-indigenous,23,Married,11
16163241,Urban,Female,Non-indigenous,22,Married,6
16163242,Urban,Female,Indigenous,24,Single,2
16163243,Urban,Female,Indigenous,22,Separated/a,5
16163260,Rural,Female,Non-indigenous,24,Married,0
16163261,Rural,Male,Indigenous,15,Single,9
16163262,Rural,Male,Indigenous,16,Single,9
16163263,Rural,Male,Indigenous,20,Single,13
16163264,Rural,Female,Indigenous,15,Single,10
16163266,Urban,Male,Non-indigenous,18,Single,9
16163267,Urban,Male,Indigenous,20,Single,11
16163268,Urban,Female,Non-indigenous,15,Single,6
16163269,Urban,Female,Non-indigenous,18,Single,12
16163319,Urban,Male,Indigenous,21,Single,12
16163320,Urban,Female,Non-indigenous,17,Married,8
16163321,Urban,Female,Non-indigenous,23,Married,9
16163322,Urban,Female,Non-indigenous,16,Single,6
16163323,Urban,Female,Indigenous,17,Single,6
16163324,Urban,Male,Indigenous,18,Married,8
16163326,Urban,Female,Indigenous,18,Married,7
16163327,Urban,Male,Indigenous,15,Single,9
16163328,Urban,Male,Indigenous,21,Married,3
16163329,Urban,Male,Non-indigenous,18,Single,8
16163330,Urban,Male,Indigenous,20,Single,10
16163331,Rural,Female,Non-indigenous,20,Married,12
16163332,Rural,Male,Indigenous,16,Single,10
16163333,Rural,Female,Indigenous,18,Single,9
16163334,Rural,Male,Indigenous,18,Single,11
16163335,Rural,Male,Indigenous,23,Single,12
16163336,Rural,Male,Indigenous,22,Single,12
16163338,Rural,Female,Indigenous,20,Single,12
16163341,Rural,Female,Indigenous,21,Married,12
16163342,Rural,Female,Indigenous,17,Married,6
16163343,Rural,Male,Indigenous,16,Single,7
16163344,Rural,Female,Indigenous,20,Single,8
16163345,Rural,Male,Indigenous,21,Married,3
16163346,Rural,Female,Indigenous,24,Single,12
16163347,Rural,Male,Non-indigenous,20,Single,11
16163348,Rural,Male,Indigenous,18,Single,11
16163349,Rural,Male,Indigenous,23,Single,11
16163350,Rural,Female,Indigenous,16,Single,6
16163351,Urban,Female,Indigenous,20,Single,13
16163352,Urban,Female,Indigenous,22,Single,14
16163353,Urban,Female,Indigenous,23,Married,12
16163354,Urban,Male,Indigenous,20,Single,13
16163355,Urban,Male,Indigenous,23,Single,12
16163356,Urban,Female,Indigenous,20,Single,12
16163357,Rural,Female,Indigenous,19,Single,9
16163358,Rural,Female,Indigenous,18,Single,11
16163359,Rural,Male,Indigenous,24,Married,14
16163360,Rural,Male,Indigenous,17,Single,11
16163370,Rural,Female,Indigenous,19,Single,7
16163371,Rural,Female,Indigenous,20,Married,6
16163372,Rural,Male,Indigenous,19,Single,11
16163373,Rural,Male,Indigenous,15,Single,8
16163374,Rural,Female,Indigenous,22,Single,6
16163375,Rural,Male,Indigenous,23,Single,15
16186014,Rural,Male,Indigenous,20,Single,9
16186015,Rural,Male,Non-indigenous,20,Single,15
16186016,Rural,Female,Indigenous,22,Single,1
16186017,Rural,Male,Indigenous,20,Single,12
16186018,Rural,Female,Indigenous,24,Married,5
16186019,Rural,Female,Indigenous,23,Single,6
16186020,Urban,Female,Indigenous,20,Single,13
16186022,Rural,Female,Non-indigenous,17,Single,1
16186023,Rural,Female,Indigenous,20,Single,9
16186024,Rural,Female,Indigenous,20,Single,0
16186025,Rural,Male,Non-indigenous,16,Single,9
16186026,Rural,Male,Non-indigenous,18,Single,12
